part_number,manufacturer,category,description,availability,price,datasheet_url,product_url
B43508A5477M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 450VDC 470uF 20% PVC STD 6.3mm Term,319 在庫,"¥3,015.5",,https://www.mouser.jp/ProductDetail/TDK/B43508A5477M000?qs=qPUKiRLrJPFzjHrCUZHmfg%3D%3D
ALC70A561DE400,KEMET,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400V 560uF 20% 15000Hrs,695 在庫,"¥1,929.9",https://www.mouser.com/datasheet/3/508/1/KEM_A4081_ALC70.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALC70A561DE400?qs=yqaQSyyJnNiuDfcV7jRYZg%3D%3D
EXV475M035A9BAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 35V 4.7uF 20%,27116 在庫,¥68.5,https://www.mouser.com/datasheet/3/72/1/EXV475M035A9BAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EXV475M035A9BAA?qs=E9QF1UCAUX51FYq3xnG%2FcA%3D%3D
EDH226M016S9BAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 16V 22uF 20% AEC-Q200,33959 在庫,¥32.6,https://www.mouser.com/datasheet/3/72/1/EDH226M016S9BAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EDH226M016S9BAA?qs=E9QF1UCAUX7nxIYoqFIcRw%3D%3D
EDH225M050A9BAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 50V 2.2uF 20%,39670 在庫,¥40.8,https://www.mouser.com/datasheet/3/72/1/EDH225M050A9BAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EDH225M050A9BAA?qs=E9QF1UCAUX6%2Fo0GFOSNPIQ%3D%3D
B43547E2227M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 250VDC 220uF 20% PVC STD 6.3mm Term,1152 在庫,¥956.8,,https://www.mouser.jp/ProductDetail/TDK/B43547E2227M000?qs=OiaALIbqWFQKYWIsj6VcUw%3D%3D
MAL205658222E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 2200uF 63V 25x30mm,468 在庫,"¥1,566.4",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL205658222E3?qs=r0NmvwWPm2zWbmyOV%2FOX9g%3D%3D
MAL211815222E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 2200uF 20% 16volts,612 在庫,"¥1,100.3",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL211815222E3?qs=pM1VCyfkp0AEfCU8E2fhdw%3D%3D
MAL215936151E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400V 150uF 20%,368 在庫,"¥2,058.7",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215936151E3?qs=R62HgyKaTt%2FEzcR%2FOxokMw%3D%3D
MAL214638101E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 63V 100uF 20% AEC-Q200,3076 在庫,¥334.2,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214638101E3?qs=oD%252BgjdMRx%252BWRatwtj3S%252BTw%3D%3D
